Country (current borders);NUTS-Codes;Region;GDP_1900;GDP_1910;GDP_1925;GDP_1938;GDP_1950;GDP_1960;GDP_1970;GDP_1980;GDP_1990;GDP_2000;GDP_2010;GDP_2015;GDP_11_1900;GDP_11_1910;GDP_11_1925;GDP_11_1938;GDP_11_1950;GDP_11_1960;GDP_11_1970;GDP_11_1980;GDP_11_1990;GDP_11_2000;GDP_11_2010;GDP_11_2015;AREA;POP_1900;POP_1910;POP_1925;POP_1938;POP_1950;POP_1960;POP_1970;POP_1980;POP_1990;POP_2000;POP_2010;POP_2015;AGSH_1900;AGSH_1910;AGSH_1925;AGSH_1938;AGSH_1950;AGSH_1960;AGSH_1970;AGSH_1980;AGSH_1990;AGSH_2000;AGSH_2010;AGSH_2015;INDSH_1900;INDSH_1910;INDSH_1925;INDSH_1938;INDSH_1950;INDSH_1960;INDSH_1970;INDSH_1980;INDSH_1990;INDSH_2000;INDSH_2010;INDSH_2015;SERSH_1900;SERSH_1910;SERSH_1925;SERSH_1938;SERSH_1950;SERSH_1960;SERSH_1970;SERSH_1980;SERSH_1990;SERSH_2000;SERSH_2010;SERSH_2015
Denmark;DK04;Midtjylland;1760;2544;2904;4119;4830;7735;11317;15368;20312;26161;27621;29125;2623;3920;3895;5466;6538;10591;16482;21685;27891;41215;49895;52699;12823;523;594;682;683;842;897;989;1068;1144;1197;1257;1288;0,543;0,499;0,475;0,404;0,398;0,295;0,169;0,029;0,077;0,054;0,036;0,032;0,251;0,251;0,278;0,339;0,282;0,367;0,391;0,327;0,292;0,274;0,145;0,212;0,207;0,25;0,247;0,257;0,319;0,338;0,44;0,644;0,63;0,672;0,819;0,756
Denmark;DK05;Nordjylland;1102;1508;1824;2488;2800;4398;4814;10297;9264;11913;12069;12214;1643;2325;2447;3301;3791;6021;7012;14530;12720;18768;21802;22099;7843;319;352;413;447;483;502;456;744;573;579;580;585;0,601;0,556;0,533;0,469;0,474;0,351;0,188;0,034;0,088;0,058;0,049;0,045;0,215;0,223;0,245;0,309;0,24;0,34;0,379;0,328;0,277;0,262;0,142;0,218;0,184;0,221;0,222;0,222;0,285;0,309;0,433;0,639;0,635;0,68;0,809;0,737
Finland;FI19;Länsi-Suomi;1155;1552;2087;3543;4680;7363;11095;15651;19564;22728;28468;28102;1147;1489;1960;3655;5749;9997;16672;23470;28121;37996;46539;46831;58304;814;827;874;967;1178;1240;1237;1268;1300;1317;1358;1379;0,702;0,799;0,767;0,689;0,498;0,384;0,233;0,15;0,061;0,013;0,01;0,06;0,148;0,118;0,133;0,173;0,29;0,332;0,395;0,357;0,28;0,213;0,18;0,276;0,149;0,083;0,099;0,138;0,212;0,284;0,372;0,493;0,659;0,774;0,81;0,664
Finland;FI1B;Helsinki-Uusimaa;958;1129;1756;3267;4252;6582;12065;17335;27005;37977;48347;48199;952;1083;1649;3370;5223;8937;18130;25994;38817;63490;79036;80322;9131;202;262;334;476;574;747;917;1026;1147;1305;1525;1606;0,378;0,483;0,355;0,26;0,168;0,1;0,047;0,098;0,111;0,116;0,093;0,008;0,245;0,239;0,271;0,321;0,384;0,39;0,371;0,36;0,334;0,334;0,299;0,173;0,377;0,278;0,373;0,418;0,448;0,51;0,582;0,542;0,555;0,55;0,608;0,819
Finland;FI1C;Etelä-Soumi;1146;1433;1867;3306;4242;6727;10516;14097;18528;20644;22861;23366;1139;1375;1753;3410;5212;9134;15803;21140;26632;34512;37373;38938;31715;601;671;722;802;1009;1084;1133;1168;1205;1224;1156;1164;0,639;0,738;0,65;0,555;0,37;0,268;0,152;0,144;0,11;0,089;0,071;0,045;0,177;0,147;0,178;0,219;0,325;0,352;0,377;0,371;0,343;0,329;0,291;0,251;0,184;0,115;0,173;0,226;0,305;0,38;0,471;0,486;0,547;0,582;0,638;0,704
Finland;FI1D;Pohjois-ja Itä-Soumi;1108;1426;1931;2913;3793;6817;10305;14481;18464;20200;24451;24229;1101;1368;1813;3005;4659;9256;15486;21715;26539;33770;39971;40376;203197;777;805;905;1026;1240;1354;1290;1306;1322;1309;1297;1303;0,818;0,899;0,864;0,82;0,645;0,544;0,353;0,299;0,208;0,15;0,12;0,079;0,099;0,051;0,067;0,079;0,169;0,199;0,264;0,275;0,269;0,264;0,235;0,226;0,082;0,05;0,069;0,101;0,186;0,257;0,383;0,426;0,522;0,586;0,645;0,694
Finland;FI20;Åland;48;44;51;94;84;110;132;326;542;636;785;801;47;43;48;97;103;150;199;489;779;1064;1283;1335;1553;25;21;20;21;22;21;21;23;25;26;28;29;0,6;0,857;0,8;0,636;0,569;0,411;0,239;0,198;0,129;0,089;0,068;0,046;0,2;0,143;0,1;0,091;0,122;0,157;0,21;0,199;0,17;0,15;0,128;0,147;0,4;0,143;0,1;0,273;0,309;0,432;0,551;0,603;0,7;0,761;0,804;0,808
France;FR10;Île de France;26210;27297;42120;49209;63954;100635;164171;220313;293506;362145;419249;444883;37234;40463;53301;62044;85228;139425;243984;334114;394163;543036;700231;791723;12012;4608;5265;6072;6925;7317;8470;9879;10073;10661;11031;11853;12092;0,079;0,067;0,044;0,028;0,03;0,019;0,012;0,007;0,004;0,004;0,002;0,002;0,467;0,526;0,493;0,403;0,456;0,432;0,397;0,322;0,261;0,17;0,14;0,12;0,454;0,406;0,463;0,569;0,515;0,549;0,591;0,671;0,735;0,826;0,858;0,878
France;FR21;Champagne-Ardenne;4041;3721;4531;5243;5106;8085;14146;20532;22544;26229;24522;24886;5741;5516;5734;6611;6805;11201;21023;31138;30276;39330;40957;44288;25606;1233;1213;1097;1136;1133;1206;1337;1346;1348;1342;1336;1340;0,401;0,382;0,334;0,261;0,291;0,215;0,15;0,112;0,094;0,072;0,063;0,086;0,38;0,43;0,419;0,368;0,383;0,417;0,437;0,396;0,342;0,275;0,246;0,217;0,219;0,187;0,247;0,371;0,326;0,368;0,413;0,492;0,564;0,653;0,692;0,697
France;FR22;Picardie;4466;4023;4857;5947;5910;9823;18231;23294;27901;31865;31200;31936;6345;5964;6146;7498;7875;13609;27094;35326;37470;47781;52111;56834;19399;1480;1462;1300;1371;1386;1481;1679;1740;1811;1863;1918;1934;0,368;0,396;0,309;0,284;0,32;0,224;0,145;0,096;0,066;0,046;0,034;0,04;0,408;0,388;0,446;0,357;0,365;0,418;0,452;0,42;0,363;0,286;0,246;0,215;0,225;0,216;0,243;0,36;0,314;0,359;0,403;0,484;0,571;0,668;0,72;0,745
France;FR23;Haute-Normandie;4481;5130;4968;5616;5976;9712;17868;26527;28971;33902;34094;35477;6366;7604;6287;7081;7963;13455;26555;40229;38906;50836;56944;63136;12318;1184;1200;1195;1234;1274;1398;1596;1655;1737;1785;1839;1861;0,309;0,238;0,253;0,23;0,258;0,178;0,113;0,069;0,046;0,029;0,021;0,021;0,431;0,566;0,452;0,364;0,365;0,402;0,428;0,408;0,359;0,289;0,259;0,23;0,261;0,196;0,295;0,405;0,377;0,42;0,458;0,523;0,596;0,682;0,72;0,749
France;FR24;Centre;4961;4856;6092;6519;7501;11456;22715;30923;39862;46277;45660;47027;7048;7199;7710;8220;9996;15871;33758;46896;53532;69392;76262;83691;39151;1895;1876;1726;1731;1758;1858;2153;2264;2371;2451;2557;2584;0,565;0,543;0,54;0,44;0,46;0,313;0,191;0,116;0,073;0,049;0,035;0,038;0,251;0,29;0,25;0,269;0,255;0,332;0,392;0,379;0,348;0,279;0,248;0,214;0,185;0,165;0,212;0,291;0,285;0,355;0,417;0,505;0,58;0,672;0,717;0,748
France;FR25;Basse-Normandie;3229;3089;3696;4231;4925;7802;13473;16667;20759;24190;24495;26005;4587;4579;4677;5334;6563;10809;20022;25277;27879;36273;40911;46280;17589;1236;1185;1094;1129;1165;1208;1306;1351;1391;1427;1476;1480;0,56;0,537;0,544;0,481;0,502;0,403;0,297;0,192;0,121;0,074;0,053;0,052;0,24;0,276;0,237;0,255;0,226;0,269;0,313;0,328;0,306;0,264;0,247;0,216;0,198;0,187;0,22;0,264;0,272;0,328;0,39;0,48;0,573;0,663;0,7;0,732
France;FR26;Bourgogne;4127;4026;5107;5226;6711;10589;16146;21175;25925;29269;28879;30487;5863;5968;6463;6589;8944;14670;23995;32113;34815;43888;48234;54255;31582;1629;1564;1413;1393;1375;1439;1571;1596;1610;1613;1643;1643;0,563;0,545;0,514;0,373;0,422;0,293;0,185;0,119;0,084;0,062;0,051;0,049;0,255;0,288;0,284;0,3;0,28;0,343;0,388;0,37;0,324;0,268;0,236;0,199;0,182;0,166;0,201;0,326;0,298;0,364;0,427;0,51;0,592;0,67;0,713;0,752
