STAT_LEVL_CODE;NUTS_ID;NUTS_NAME;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
3;AT223;Östliche Obersteiermark;6016,08575;6740,85861;7844,531596;8430,333453;9015,600841;9894,006917;10309,81822;10494,91734;11586,93775;13067,70531;14526,41075;14702,54172;15616,421;15581,44262;16649,34248;15345,1593;15961,39097;16704,59548;18593,41609;19388,64021;20682,2141;20986,68867;21097,03645;21391,01485;22539,39495;25352,26383;27122,0508;29228,32289;28772,0086;26840,49678;27120,97325;29180,03969;31141,93928;30885,73051;32448,09175;34282,9583;33397,48769;34547,7839;35203,43015;36534,07337;37352,72877;38569,23313
3;AT224;Oststeiermark;5282,183132;5803,614276;6003,86265;6344,495891;6684,132894;7245,321407;7462,893331;7517,053904;8217,295099;9186,972459;10137,01762;11322,69395;11867,74679;11826,13904;12607,68328;11539,00929;12430,18384;13316,23513;14312,92299;15150,79747;16177,49619;16527,62655;16997,41772;17120,57115;18253,43477;18662,88894;19815,86974;21540,06039;21576,9152;21040,7482;22434,70604;22816,45383;24356,86782;24346,52724;25380,07415;26360,7421;26485,47544;27150,46233;28065,97374;29061,04693;29937,24758;30913,7854
3;AT225;West- und Südsteiermark;5444,568155;5988,107513;6334,310133;6705,254026;7074,745464;7672,620759;7905,621259;7967,582312;8704,932141;9723,31065;10727,52578;11727,83695;12349,81635;12253,91361;13023,81881;11863,32619;12718,24075;13773,06483;14620,07775;15118,72668;16268,97698;16351,60634;16984,03982;17883,80725;19134,3032;19549,61365;20136,24286;21571,87374;21515,018;19884,65492;21427,25412;22788,19477;23560,39195;23916,55947;24708,78487;25273,43649;26065,57301;26724,17353;28141,7661;29296,2139;30563,18805;31777,69172
3;AT226;Westliche Obersteiermark;6339,225772;7047,063144;7726,78522;8215,192937;8700,583384;9466,738411;9776,297858;9864,643937;10787,62239;12062,63943;13299,77354;14084,06157;14770,89747;14654,24506;15567,82847;14225,86609;14944,18422;16050,65018;16970,8745;17648,09273;19066,07849;18871,47304;19575,24811;19567,06382;20818,1052;20869,5915;22306,48102;23302,0061;23670,70399;21783,17482;23349,94092;24199,48567;25515,77701;25342,10295;25548,43317;26212,47315;27160,27608;28047,04628;29689,55711;31111,96648;32645,79484;34161,12977
1;AT3;Westösterreich;8715,635947;9694,969947;10559,10569;11322,90223;11890,89976;12951,91423;13361,99007;13831,58735;15038,26094;16544,01403;17940,06633;19470,75225;20339,12772;20043,8166;20908,40222;18967,24234;20189,1538;21621,57096;22866,74718;23945,28381;25957,65499;26072,97824;27088,26941;27725,51969;29061,58649;30654,25881;32194,04711;33616,32318;33843,14202;32130,98981;33332,26918;35079,00589;36959,82587;37335,64566;38293,77729;40265,82023;40360,02257;40840,39575;42082,74851;43172,45802;44244,96587;45340,72238
2;AT31;Oberösterreich;8309,271057;9272,721911;10015,21493;10804,39222;11288,36806;12560,13317;12642,35166;13093,64346;14466,059;16006,30121;17400,65618;18709,85821;19284,13134;18877,03644;19823,16394;17967,98545;19198,21033;20655,31003;21868,02444;22918,56857;24818,23318;24928,07244;25749,88052;26460,82058;27650,10854;29307,96029;30675,52615;31998,16039;32656,57023;30733,77862;31942,7924;33783,05355;35394,70614;35911,48799;36845,04966;38230,67217;38428,11269;39102,47264;40404,30104;41623,97695;42783,36563;43992,88906
3;AT311;Innviertel;6282,80087;6963,909513;7481,492384;8031,103461;8356,718663;9266,315299;9300,74944;9613,399744;10599,60716;11719,57445;12740,8941;13737,29823;14136,1909;13851,13654;14543,82726;13095,58392;14144,79173;15286,33058;16074,84624;16619,71415;18118,61195;18132,80811;18934,97472;19472,86132;20791,41828;22138,21378;23292,65887;24834,74037;25172,20381;23885,8134;25135,72759;27361,99924;29125,30162;30181,2437;31598,04214;32028,2817;32255,0724;32784,92231;33860,9308;34852,45077;35801,87009;36785,46659
3;AT312;Linz-Wels;11268,64906;12582,36626;13643,21773;14727,44647;15386,6223;17113,22205;17206,79037;17800,63564;19635,90058;21668,84775;23459,82346;24952,93268;25686,00422;25071,19723;26293,87977;24050,28715;25775,17468;27830,69601;29297,45594;30659,93292;33328,92963;33767,80887;34635,90396;35855,54369;36950,70143;38746,49874;40420,94326;41685,03126;43139,53412;40266,52274;41964,61134;43497,89619;44881,08774;45044,95775;45593,80712;47777,37799;47526,83196;48220,37209;49426,95351;50700,50232;51783,14546;52998,97928
3;AT313;Mühlviertel;5578,049992;6164,099217;6502,667763;6946,040044;7192,016793;7931,633533;7923,822678;8141,075253;8931,342021;9833,714099;10656,11695;11638,78423;11945,15179;11646,11425;12159,03595;10786,15682;11354,36115;11960,1233;12683,08909;13371,11657;14050,7619;14078,17953;14409,36394;14576,32391;15612,62644;16086,21298;17042,70874;18094,50958;18548,7098;18528,59498;18401,46646;19875,47912;21701,47;22432,76464;23205,9413;24154,61659;24617,1579;25143,10915;26271,41749;27221,37324;28223,62;29205,4084
3;AT314;Steyr-Kirchdorf;6583,306107;7443,699286;8267,759602;9044,891597;9584,913485;10820,71229;11060,77842;11632,62354;13051,20715;14674,45845;16234,69692;17533,80539;18329,16396;18206,18529;19382,80365;17458,05507;18447,57049;19927,82954;21798,43091;23423,03709;25239,98914;25338,10427;26196,27942;26819,27285;28559,4798;30695,77569;32418,89287;33251,12826;33481,57162;30402,61166;32766,5257;34171,16015;37067,80527;37496,33692;38866,9029;39933,16948;40386,94502;41218,22102;42781,77078;44220,80886;45631,34894;47081,43397
3;AT315;Traunviertel;7359,974076;8242,872713;8872,454873;9589,537039;10035,49478;11188,11296;11276,368;11693,37575;12940,70953;14329,66767;15591,05701;16862,87601;17376,49577;17013,35956;17864,21015;16124,22677;17212,86597;18445,39701;19634,97501;20559,88412;22369,22508;22000,80461;23167,95318;23320,05642;24221,98022;26572,82297;27498,31908;29170,5989;28732,92891;27327,14786;27659,59717;30324,06343;31172,04483;31643,14145;32654,75672;33666,71516;34437,491;35154,72699;36819,81636;38162,79344;39625,31358;41026,31933
2;AT32;Salzburg;9773,091005;10813,26252;11999,49806;12921,69867;13601,00993;14442,86528;15336,78346;15788,65267;17094,19668;18624,83224;19943,54378;21882,53702;23043,90895;22932,30403;23754,40439;21369,04319;22630,74479;24210,77212;25477,9744;26580,79334;28666,63291;28590,36343;29779,29704;30466,15994;32251,68487;33662,63149;35583,18752;37633,98523;37471,02707;35665,60932;37684,86607;39389,25497;41806,48017;41411,44528;42158,85302;44536,26982;45173,64937;45437,87467;47071,78446;48197,0688;49529,46909;50741,53219
3;AT321;Lungau;6028,774458;6691,844114;7664,261044;8303,686517;8758,463275;9336,633156;9921,137257;10278,12372;11210,90241;12301,87433;13435,53795;14446,52631;15379,54755;15506,21986;16223,44887;14718,55655;15844,46363;16855,27321;18053,01872;18237,19908;18944,88746;18137,32904;19630,69937;19923,10592;19692,92377;21029,61254;22199,6874;23175,46356;23610,13729;24005,69242;24983,00148;25678,37967;27764,90671;28197,0574;29017,87019;30280,73332;30854,16667;31415,32376;32786,11384;33931,80694;35172,7431;36399,8998
