"","nuts_2","nuts_1","country","trade_center","capital","education","catholics","latitude","longitude","mountain","border_region","university_1500","coast_region","printingpress_pre1500","hanse","imperial","altitude","dist_border","dist_coast","east_germany","bishop","mining","eqi100","residence","trade_year"
"34","DE73","DE7","Germany",1,0,23,31.7900009155273,51.0936758858817,9.50636073521205,0,0,0,0,0,0,0,246.657141549246,2.28990939685277,2.44293005125863,0,0,0,76.3099975585938,0,6
"35","DE80","DE8","Germany",1,0,26.5,31.7900009155273,53.8333740234375,12.5655313597785,0,1,1,1,1,1,0,34.4500000609292,0.289506192008654,0.328584363891019,1,1,0,83.25,1,9
"36","DE91+DE92","DE9","Germany",1,0,22.5611111111111,31.7900009155273,52.1651123894585,10.0184534920586,0,0,0,0,1,1,1,189.561112933689,1.73528274562624,1.48011925154262,0,1,1,82.9899978637695,0,13
"37","DE93","DE9","Germany",1,0,20.3,31.7900009155273,53.1696922995828,9.79724303158846,0,0,0,1,1,1,1,36.3454548662359,0.809581883928992,0.560459947044199,0,1,0,82.9899978637695,1,7
"38","DE94","DE9","Germany",1,0,21,31.7900009155273,53.0488267786363,7.90258177588968,0,1,0,1,0,1,0,19.9882352878066,0.350303253487629,0.416502048425815,0,1,0,82.9899978637695,0,7
"39","DEA1","DEA","Germany",0,0,23.1,31.7900009155273,51.3391367594401,6.77312278747559,0,1,0,0,0,1,1,104.339999516805,0.486266326904297,1.92579699357351,0,0,1,78.1399993896484,0,0
"40","DEA2","DEA","Germany",1,0,27.5,31.7900009155273,50.8593031565348,6.78393097718557,0,1,1,0,1,1,1,168.966668446859,0.564216360760232,2.15730868776639,0,1,1,78.1399993896484,1,13
"41","DEA3","DEA","Germany",1,0,21.4,31.7900009155273,51.8392271995545,7.31764763593674,0,1,0,0,1,1,0,59.0125007629395,0.487748082377948,1.44732029736042,0,1,1,78.1399993896484,0,8
"42","DEA4","DEA","Germany",1,0,20.7,31.7900009155273,51.9688415527344,8.74054118565151,0,0,0,0,0,1,1,125.057144165039,1.49966471535819,1.52042777197702,0,1,0,78.1399993896484,1,7
"43","DEA5","DEA","Germany",1,0,20.1,31.7900009155273,51.3822682698568,7.72043498357137,0,0,0,0,1,1,1,224.074997901916,1.0628278652827,1.92924536267917,0,0,1,78.1399993896484,1,8
"44","DEB1","DEB","Germany",0,0,19.6,31.7900009155273,50.2691424976696,7.50014595551924,1,0,0,0,0,0,0,312.454541986639,0.964634310115466,2.9368015202609,0,0,0,80.5800018310547,1,0
"45","DEB2","DEB","Germany",0,0,25.7,31.7900009155273,49.9390785217285,6.69565687179565,1,1,0,0,1,0,0,361.059997558594,0.267647802829742,2.54572749137878,0,1,0,80.5800018310547,0,0
"46","DEB3","DEB","Germany",0,0,25.3,31.7900009155273,49.4526330947876,8.02260317802429,0,1,1,0,1,1,1,230.369996643066,0.421920705586672,3.78404855728149,0,1,0,80.5800018310547,1,0
"47","DEC0","DEC","Germany",0,0,19.7,31.7900009155273,49.37424659729,6.96450551350911,0,1,0,0,0,0,0,274.566670735677,0.157424807858964,3.05937242507934,0,0,1,85.4800033569336,0,0
"48","DED2","DED","Germany",1,0,33.8,31.7900009155273,51.1596027721058,14.1522254076871,0,1,0,0,1,0,0,208.809089660644,0.249204933643341,2.79446619207209,1,0,1,86.4400024414062,1,7
"49","DED4","DED","Germany",1,0,29.7,31.7900009155273,50.690175374349,12.7252295811971,1,1,0,0,1,0,0,441.75,0.240381562771897,3.38822573423386,1,0,0,86.4400024414062,1,6
"50","DED5","DED","Germany",1,0,33.9,31.7900009155273,51.3108717600504,12.6720434824626,0,0,1,0,1,0,0,139.733336130778,0.852910945812862,2.80232151349386,1,0,1,86.4400024414062,0,6
"51","DEE0","DEE","Germany",1,0,24.6,31.7900009155273,51.9096878596715,11.7566148212978,0,0,0,0,1,1,0,104.678570883615,1.4441385098866,2.04841737236295,1,1,1,81.4300003051758,1,12
"52","DEF0","DEF","Germany",1,0,22.8,31.7900009155273,54.1326049804687,9.94921398162842,0,1,0,1,1,1,1,21.0599999109904,0.261805284892519,0.201992940918232,0,1,0,90.3000030517578,1,8
"53","DEG0","DEG","Germany",1,0,27.9,31.7900009155273,50.9007571676503,11.1068340384442,1,0,1,0,1,1,1,323.378258083178,1.2296887351119,2.88586597857268,1,0,0,91.6699981689453,1,10
"54","FR10","FR1","France",1,1,39.7,62.3699989318848,48.7961931228638,2.33265197277069,0,0,1,0,1,0,0,80.6624999046326,1.51220418512821,1.54775685071945,0,0,1,73.5,1,6
"55","FR21","FR2","France",1,0,19.6,62.3699989318848,48.7780752182007,4.57741665840149,0,1,0,0,1,0,0,192.074998855591,1.04645131155849,2.30004477500916,0,1,0,65.629997253418,0,13
"56","FR22","FR2","France",0,0,21.6,62.3699989318848,49.6116358439128,2.77525242169698,0,1,0,1,1,0,0,94.9666646321614,0.821631888548533,1.10058285792668,0,0,0,71.8499984741211,0,0
"57","FR23","FR2","France",1,0,19.3,62.3699989318848,49.3686084747314,0.988852798938751,0,1,0,1,1,0,0,147.200004577637,0.520467966794968,0.382295534014702,0,1,0,64.2900009155273,0,6
"58","FR24","FR2","France",1,0,24,62.3699989318848,47.5135040283203,1.63028905789057,0,0,1,0,1,0,0,131.600002288819,2.29663397868474,2.18811500072479,0,1,0,74.9499969482422,0,6
"59","FR25","FR2","France",0,0,25.2,62.3699989318848,48.919620513916,-0.546847637742759,0,1,1,1,1,0,0,148.433334350586,0.397416656215986,0.354549090067546,0,0,0,72.5299987792969,0,0
"60","FR26","FR2","France",1,0,23.9,62.3699989318848,47.274079322815,4.11716669797897,0,0,0,0,1,0,0,324.449989318848,1.96541604399681,3.34175896644592,0,1,0,72.1500015258789,0,6
"61","FR30","FR3","France",0,0,24.6,62.3699989318848,50.5211906433105,2.7604867219925,0,1,0,1,1,0,1,98.1499977111815,0.263838499784469,0.622115731239319,0,0,1,73.4400024414062,0,0
"62","FR41","FR4","France",1,0,21.7,62.3699989318848,48.7883911132812,6.10504007339478,0,1,0,0,1,0,1,303.67499923706,0.523006498813629,2.86865431070328,0,0,0,66.9000015258789,0,7
"63","FR42","FR4","France",1,0,29.4,62.3699989318848,48.2326450347901,7.4090530872345,0,1,0,0,1,0,1,214.050003051758,0.261883400380611,3.88456118106842,0,0,0,71.9300003051758,0,8
"64","FR43","FR4","France",0,0,23.4,62.3699989318848,47.2793645858765,6.28874564170838,0,1,1,0,1,0,1,491.400001525879,0.372963663190603,3.59366703033447,0,1,0,72.3600006103516,0,0
"65","FR51","FR5","France",0,0,26.5,62.3699989318848,47.5180526733398,-0.811498737335206,0,0,1,1,1,0,0,79.3400001525879,0.803288084268569,0.772936952114106,0,0,0,69.3600006103516,0,0
"66","FR52","FR5","France",1,0,28.1,62.3699989318848,48.1753330230713,-2.85408344864845,0,1,0,1,1,0,0,106.650001525879,0.222218414768577,0.178204928990454,0,0,0,84.3000030517578,0,6
"67","FR53","FR5","France",0,0,21,62.3699989318848,46.136887550354,-0.0409786254167557,0,0,1,1,1,0,0,96.3250012397767,0.96027620881796,0.955476298928262,0,0,0,78.3199996948242,0,0
"68","FR61","FR6","France",1,0,27.2,62.3699989318848,44.3184814453125,-0.174798053503036,0,1,1,1,1,0,0,152.759998321533,0.825137543678284,0.827200704813004,0,1,0,79.4400024414062,0,6
"69","FR62","FR6","France",1,0,34.6,62.3699989318848,43.737624168396,1.40152044594288,1,1,1,0,1,0,0,401.462490081787,0.964153975248338,1.66086371243,0,1,0,70.1800003051758,0,6
"70","FR63","FR6","France",1,0,26,62.3699989318848,45.7736892700195,1.71339321136475,0,0,0,0,1,0,0,483.800018310547,2.46373510360718,2.44696307182312,0,0,0,77.4199981689453,0,10
"71","FR71","FR7","France",1,0,28.5,62.3699989318848,45.5092282295227,5.29606103897095,1,1,0,0,1,0,0,844.024991989136,0.973464539274573,2.04161870479584,0,0,0,79,0,6
"72","FR72","FR7","France",0,0,28.3,62.3699989318848,45.5685939788818,3.20798045396805,1,0,0,0,0,0,0,651.925010681152,2.14709928631782,2.18654012680054,0,0,1,73.8499984741211,0,0
"73","FR81","FR8","France",1,0,26,62.3699989318848,43.5550888061523,3.16499371528625,1,1,1,1,1,0,0,413.340002441406,0.519488433003425,0.59774131178856,0,0,0,73.2799987792969,0,10
"74","FR82","FR8","France",1,0,26.8,62.3699989318848,43.9491380055745,6.08874567349752,1,1,1,1,1,0,0,669.133333841959,0.430209944645564,0.59332467863957,0,1,0,66.2799987792969,0,12
"75","ITC1","ITC","Italy",0,0,13.7,81.7966995239258,45.2624607086182,8.14168763160705,1,1,0,1,1,0,0,316.087497711182,0.390733301639557,1.05259738489986,0,0,0,58.0699996948242,0,0
"76","ITC2","ITC","Italy",0,0,10.8,81.7966995239258,45.7272415161133,7.37017154693604,1,1,0,0,0,0,0,635.200012207031,0.16975162923336,1.79950535297394,0,0,0,75.7799987792969,0,0
"77","ITC3","ITC","Italy",1,0,18.7,81.7966995239258,44.2191982269287,8.74519634246826,0,1,0,1,1,0,0,461.525001525879,0.104744674637913,0.099974486976862,0,1,0,49.6100006103516,0,10
"78","ITC4","ITC","Italy",1,0,15.5,81.7966995239258,45.6121697859331,9.65024150501598,1,1,1,0,1,0,0,626.636365023527,0.506801897151904,1.37531448494304,0,1,0,46.7599983215332,1,7
"79","ITE1","ITI","Italy",1,0,14.8,81.7966995239258,43.6205657958984,10.9351135253906,0,1,1,1,1,0,0,282.249995422363,0.456850245594978,0.475174314714968,0,1,0,48.6500015258789,1,9
"80","ITF1","ITF","Italy",0,0,16.2,81.7966995239258,42.3012809753418,13.9524223804474,1,1,0,1,1,0,0,688.1750125885,0.333212994039059,0.32802714779973,0,0,0,40.8600006103516,1,0
"81","ITF2","ITF","Italy",0,0,14.6,81.7966995239258,41.6829147338867,14.5006575584412,1,1,0,1,0,0,0,641.649993896484,0.479654952883721,0.476708620786667,0,0,0,33.7299995422363,0,0
"82","ITF3","ITF","Italy",1,0,12.5,81.7966995239258,40.932307434082,14.7125129699707,1,0,1,1,1,0,0,445.440002441406,0.296743825823069,0.291674426198006,0,1,0,10.1800003051758,1,10
"83","ITF4","ITF","Italy",1,0,11.2,81.7966995239258,40.7736381530762,17.0584474563599,0,1,0,1,0,0,0,110.740000152588,0.166125319898128,0.1576640188694,0,1,0,22.8700008392334,0,10
"84","ITF5","ITF","Italy",0,0,12.4,81.7966995239258,40.4821739196777,16.1623106002808,1,0,0,1,0,0,0,451.04999923706,0.438076630234718,0.429439797997475,0,1,0,33.2400016784668,0,0
"85","ITF6","ITF","Italy",0,0,14,81.7966995239258,38.8968894958496,16.4082244873047,1,0,0,1,1,0,0,250.200003051758,0.132722873985767,0.131987825036049,0,1,0,13,1,0
"86","ITH1+ITH2","ITH","Italy",1,0,13.35,81.7966995239258,46.379472732544,11.3190040588379,1,1,0,0,0,0,0,1495.44998168946,0.499310791492462,1.45643186569214,0,0,0,75.5449981689453,0,6
"87","ITH3","ITH","Italy",1,0,13.1,81.7966995239258,45.5700623648507,11.8395362581526,1,1,1,1,1,0,0,277.571428111621,0.475390936248005,0.643668758017677,0,0,0,50.5699996948242,0,10
"88","ITH4","ITH","Italy",1,0,12.9,81.7966995239258,45.9511575698853,13.2370929718018,0,1,0,1,1,0,0,184.400001525879,0.243386350572109,0.275057791848667,0,0,0,64.9599990844727,0,6
"89","ITH5","ITH","Italy",1,0,16.4,81.7966995239258,44.4758716159397,11.1928519142999,0,1,1,1,1,0,0,188.73333163725,0.558257490189539,0.566001759635077,0,1,0,53.2000007629395,1,7
"90","ITI2","ITI","Italy",0,0,15.9,81.7966995239258,42.8802890777588,12.4909434318542,0,0,1,0,1,0,0,402.450012207031,0.772439062595367,0.81086328625679,0,0,0,56.5,0,0
"91","ITI3","ITI","Italy",1,0,15.2,81.7966995239258,43.3292827606202,13.1688957214355,0,1,0,1,1,0,0,276.224996566773,0.311507262289524,0.318645246326923,0,0,0,50.6100006103516,1,10
"92","ITI4","ITI","Italy",1,1,19,81.7966995239258,41.9694778442383,12.8289323806763,1,0,1,1,1,0,0,251.279998779297,0.339214216172695,0.412381222844124,0,0,0,33.060001373291,1,10
"93","NL11","NL1","Netherlands",0,0,31,30.4867000579834,53.2169418334961,6.79892174402873,0,1,0,1,0,1,0,0,0.137509965648254,0.145832485208909,0,0,0,97.6100006103516,0,0
"94","NL12","NL1","Netherlands",0,0,25.6,30.4867000579834,53.0522282918294,5.80229187011719,0,1,0,1,0,1,0,-1.86666667461395,0.256069997946421,0.256042550007502,0,0,0,97.6100006103516,0,0
